original_review,clean_review,sentiment,anger,joy,optimism,sadness,dominant_emotion
Wow... Loved this place.,wow loved this place,Positive,1.14,94.58,2.47,1.81,joy
Crust is not good.,crust isnot good,Negative,80.14,1.39,2.63,15.85,anger
Not tasty and the texture was just nasty.,not tasty and the texture was just nasty,Negative,91.51,1.77,0.66,6.06,anger
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,stopped by during the late may bank holiday off rick steve recommendation and loved it,Positive,0.93,94.77,2.88,1.42,joy
The selection on the menu was great and so were the prices.,the selection on the menu was great and so were the prices,Positive,2.61,92.62,3.76,1.02,joy
Now I am getting angry and I want my damn pho.,now i am getting angry and i want my damn pho,Negative,98.24,0.51,0.81,0.43,anger
Honeslty it didn't taste THAT fresh.),honeslty it didnot taste that fresh,Negative,20.04,8.47,1.65,69.84,sadness
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,Negative,8.57,26.3,53.18,11.95,optimism
The fries were great too.,the fries were great too,Positive,2.58,93.33,2.82,1.26,joy
A great touch.,a great touch,Positive,1.97,90.2,5.75,2.08,joy
Service was very prompt.,service was very prompt,Positive,31.33,40.59,20.69,7.39,joy
Would not go back.,wouldnot go back,Negative,46.71,1.93,15.94,35.41,anger
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,Negative,96.28,0.47,0.8,2.45,anger
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",i tried the cape cod ravoli chicken with cranberrymmmm,Negative,2.2,93.17,2.89,1.75,joy
I was disgusted because I was pretty sure that was human hair.,i was disgusted because i was pretty sure that was human hair,Negative,91.47,1.51,1.4,5.63,anger
I was shocked because no signs indicate cash only.,i was shocked because no signs indicate cash only,Negative,29.43,11.54,7.46,51.57,sadness
Highly recommended.,highly recommended,Positive,9.61,45.84,38.63,5.92,joy
Waitress was a little slow in service.,waitress was a little slow in service,Positive,76.23,1.26,1.38,21.13,anger
"This place is not worth your time, let alone Vegas.",this place isnot worth your time let alone vegas,Negative,88.04,1.11,3.3,7.55,anger
did not like at all.,didnot like at all,Negative,82.75,2.1,1.35,13.8,anger
The Burrittos Blah!,the burrittos blah,Negative,17.2,77.83,3.28,1.7,joy
"The food, amazing.",the food amazing,Positive,3.28,92.39,2.78,1.54,joy
Service is also cute.,service is also cute,Positive,1.87,92.78,2.52,2.84,joy
I could care less... The interior is just beautiful.,i could care less the interior is just beautiful,Negative,1.69,92.2,3.84,2.27,joy
So they performed.,so they performed,Negative,3.52,87.4,6.64,2.44,joy
That's right....the red velvet cake.....ohhh this stuff is so good.,thats rightthe red velvet cakeohhh this stuff is so good,Positive,1.28,96.46,1.52,0.75,joy
- They never brought a salad we asked for.,they never brought a salad we asked for,Negative,88.98,0.7,1.06,9.26,anger
"This hole in the wall has great Mexican street tacos, and friendly staff.",this hole in the wall has great mexican street tacos and friendly staff,Positive,5.31,84.79,7.92,1.98,joy
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,Negative,38.9,6.13,2.97,52.0,sadness
The worst was the salmon sashimi.,the worst was the salmon sashimi,Negative,83.75,0.93,0.86,14.46,anger
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",also there are combos like a burger fries and beer for which is a decent deal,Negative,2.16,92.14,4.62,1.09,joy
This was like the final blow!,this was like the final blow,Negative,84.54,2.96,3.61,8.89,anger
I found this place by accident and I could not be happier.,i found this place by accident and i couldnot be happier,Negative,1.4,91.6,5.4,1.6,joy
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,Negative,6.01,48.68,38.76,6.55,joy
"Overall, I like this place a lot.",overall i like this place a lot,Positive,1.92,88.84,6.44,2.79,joy
The only redeeming quality of the restaurant was that it was very inexpensive.,the only redeeming quality of the restaurant was that it was very inexpensive,Negative,3.58,79.37,13.97,3.09,joy
Ample portions and good prices.,ample portions and good prices,Positive,5.04,84.17,8.78,2.01,joy
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",poor service the waiter made me feel like i was stupid every time he came to the table,Negative,91.11,0.9,0.63,7.35,anger
My first visit to Hiro was a delight!,my first visit to hiro was a delight,Positive,1.17,95.44,2.37,1.02,joy
Service sucks.,service sucks,Negative,96.61,0.51,0.42,2.46,anger
The shrimp tender and moist.,the shrimp tender and moist,Positive,3.66,85.61,5.1,5.64,joy
